"","data","sta","x","y","BPC"
"18423","RSMP","RSMP5353",-3.52519,53.48216,11157.7879644054
"18424","RSMP","RSMP5354",-3.52518,53.48216,4646.98560581481
"18425","RSMP","RSMP5355",-3.52518,53.48218,10353.8868198428
"18426","RSMP","RSMP23313",1.95833,53.48229,5975.08248973815
"18427","RSMP","RSMP4813",-3.62193,53.48235,2221.27451872427
"18428","RSMP","RSMP18478",1.21352,53.48236,62484.4091164034
"18429","RSMP","RSMP23506",1.98372,53.48241,2228.2103006133
"18430","RSMP","RSMP4341",-3.71922,53.48249,1739.72834245475
"18431","RSMP","RSMP23182",1.94271,53.48252,767.061712985552
"18432","RSMP","RSMP23266",1.95319,53.48254,5497.04185358226
"18433","RSMP","RSMP18304",1.18104,53.48295,789.193692245052
"18434","RSMP","RSMP14110",0.51391,53.48331,4494.02355864312
"18435","RSMP","RSMP23588",1.99186,53.48331,15.9590487885566
"18436","RSMP","RSMP5572",-3.46767,53.48345,2494.0164505668
"18437","RSMP","RSMP5163",-3.56446,53.48346,4971.03948609236
"18438","RSMP","RSMP5162",-3.5645,53.48347,5011.22682497166
"18439","RSMP","RSMP5164",-3.56445,53.48347,7595.14130904223
"18440","RSMP","RSMP5573",-3.46766,53.48348,2824.97540656096
"18441","RSMP","RSMP5574",-3.46766,53.48349,961.857552775903
"18442","RSMP","RSMP14180",0.51772,53.48349,710.060043554258
"18443","RSMP","RSMP5575",-3.46763,53.4835,1733.00276349937
"18444","RSMP","RSMP4187",-3.75789,53.48353,995.622937572996
"18445","RSMP","RSMP13971",0.50649,53.48362,1602.48277185406
"18446","RSMP","RSMP14065",0.51016,53.48365,763.450029625176
"18447","RSMP","RSMP4601",-3.66176,53.48366,287.520460183989
"18448","RSMP","RSMP5553",-3.47576,53.4837,243.55776877965
"18449","RSMP","RSMP18194",1.14283,53.48384,2872.19100187509
"18450","RSMP","RSMP16834",0.81546,53.48396,3421.52576916691
"18451","RSMP","RSMP1525",-5.12929,53.48413,5946.26381450223
"18452","RSMP","RSMP23201",1.94485,53.48427,63.099331273673
"18453","RSMP","RSMP22847",1.9187,53.48433,6917.24117421375
"18454","RSMP","RSMP5498",-3.49428,53.48452,429.094246547373
"18455","RSMP","RSMP5423",-3.50701,53.48466,1036.724542289
"18456","RSMP","RSMP17662",1.03234,53.48484,4377.84747014952
"18457","RSMP","RSMP4929",-3.60384,53.48487,3310.66083271964
"18458","RSMP","RSMP23355",1.96336,53.48499,1561.01851089847
"18459","RSMP","RSMP12661",0.34121,53.48501,773.476871421462
"18460","RSMP","RSMP4397",-3.701,53.48503,2560.06003760151
"18461","RSMP","RSMP23693",2.00258,53.48529,1197.29355697777
"18462","RSMP","RSMP25286",2.18308,53.48556,219.795383192302
"18463","RSMP","RSMP4941",-3.60225,53.48588,1720.82646290986
"18464","RSMP","RSMP4939",-3.60226,53.48589,960.386312596678
"18465","RSMP","RSMP4940",-3.60226,53.4859,4909.27404605586
"18466","RSMP","RSMP21119",1.7,53.48594,156.660520744814
"18467","RSMP","RSMP5586",-3.46126,53.48595,449.019651887016
"18468","RSMP","RSMP6106",-3.16361,53.48596,203.83165769312
"18469","RSMP","RSMP5263",-3.5464,53.48613,13322.8667434393
"18470","RSMP","RSMP17761",1.05886,53.48617,25.5297791820879
"18471","RSMP","RSMP4698",-3.64344,53.48622,180.017232069426
"18472","RSMP","RSMP23732",2.00519,53.48627,299.232633699283
"18473","RSMP","RSMP4254",-3.7401,53.48644,1945.67975739032
"18474","RSMP","RSMP3574",-4.13639,53.48654,1388.53904383048
"18475","RSMP","RSMP6038",-3.1937,53.48682,114.807581597786
"18476","RSMP","RSMP6046",-3.19366,53.48683,2115.74107400389
"18477","RSMP","RSMP6049",-3.19364,53.48683,298.037223762585
"18478","RSMP","RSMP6039",-3.1937,53.48684,1236.50810330726
"18479","RSMP","RSMP6035",-3.19373,53.48686,1735.4102634366
"18480","RSMP","RSMP6053",-3.19361,53.48686,1322.77868845559
"18481","RSMP","RSMP6078",-3.17532,53.48701,2337.34666670793
"18482","RSMP","RSMP6073",-3.17546,53.48705,532.837834298149
"18483","RSMP","RSMP6077",-3.17535,53.48705,164.973069511614
"18484","RSMP","RSMP6075",-3.1754,53.48708,1056.4332121292
"18485","RSMP","RSMP6076",-3.1754,53.48709,1619.52883674477
"18486","RSMP","RSMP6079",-3.1753,53.48709,2986.51818366005
"18487","RSMP","RSMP5514",-3.48876,53.48724,8543.64733816804
"18488","RSMP","RSMP5054",-3.58567,53.48732,6147.88255174904
"18489","RSMP","RSMP4498",-3.68267,53.4876,325.202719445572
"18490","RSMP","RSMP18087",1.12479,53.48766,2464.36588809868
"18491","RSMP","RSMP17179",0.91945,53.48784,583.223233689675
"18492","RSMP","RSMP22541",1.89,53.48794,553.2945998791
"18493","RSMP","RSMP22584",1.89676,53.48804,1112.33433306691
"18494","RSMP","RSMP23094",1.93276,53.48812,944.722739468245
"18495","RSMP","RSMP23293",1.95591,53.4883,1647.4249556319
"18496","RSMP","RSMP20174",1.56787,53.48845,548.080627864223
"18497","RSMP","RSMP5327",-3.52803,53.48861,7201.41881104114
"18498","RSMP","RSMP4006",-3.86124,53.48864,3492.31071504629
"18499","RSMP","RSMP4800",-3.62472,53.48877,930.198716682391
"18500","RSMP","RSMP4330",-3.72177,53.48899,4237.11118377031
"18501","RSMP","RSMP4333",-3.72173,53.48899,1143.86511090211
"18502","RSMP","RSMP4331",-3.72177,53.489,1308.97051696059
"18503","RSMP","RSMP4332",-3.72177,53.48901,3044.24730832076
"18504","RSMP","RSMP5832",-3.31657,53.48905,1318.42299268853
"18505","RSMP","RSMP23055",1.9313,53.48912,34614.0806557904
"18506","RSMP","RSMP5505",-3.49197,53.48919,890.593371808566
"18507","RSMP","RSMP23060",1.93147,53.48934,4514.00275193955
"18508","RSMP","RSMP24668",2.08035,53.48934,678.126568511559
"18509","RSMP","RSMP23477",1.97925,53.4895,70.7547553139618
"18510","RSMP","RSMP3027",-4.32052,53.48987,1005.66871350501
"18511","RSMP","RSMP23227",1.94768,53.4899,930.314911911816
"18512","RSMP","RSMP23458",1.97815,53.48999,68.0675400521429
"18513","RSMP","RSMP5154",-3.56717,53.49001,24806.0713525871
"18514","RSMP","RSMP26016",2.527,53.49002,237.507569932659
"18515","RSMP","RSMP23456",1.97793,53.49011,187.083435018173
"18516","RSMP","RSMP4585",-3.66442,53.49015,160.531068159545
"18517","RSMP","RSMP23601",1.99477,53.49029,323.636545843178
"18518","RSMP","RSMP4176",-3.76094,53.4904,58.3889274222124
"18519","RSMP","RSMP17892",1.08176,53.49081,288.530316811332
"18520","RSMP","RSMP5368",-3.52126,53.49089,6851.36103549666
"18521","RSMP","RSMP3437",-4.19028,53.49098,340.087293578799
"18522","RSMP","RSMP23107",1.93383,53.49107,430.67125708278
"18523","RSMP","RSMP16037",0.66267,53.4912,2377.06290908497
"18524","RSMP","RSMP5415",-3.50961,53.49122,409.553454118186
"18525","RSMP","RSMP4911",-3.60642,53.49136,2159.50235645166
"18526","RSMP","RSMP18031",1.10654,53.49152,344.58157021793
"18527","RSMP","RSMP12449",0.31641,53.49166,4492.14877336671
"18528","RSMP","RSMP4392",-3.70351,53.49172,61.8431477052537
"18529","RSMP","RSMP6043",-3.19368,53.49192,2712.14142296931
"18530","RSMP","RSMP6050",-3.19364,53.49195,10979.2896271634
"18531","RSMP","RSMP6032",-3.19375,53.49196,1087.52135805485
"18532","RSMP","RSMP6036",-3.19372,53.49197,10690.1054924898
"18533","RSMP","RSMP6048",-3.19365,53.49198,37547.2457876752
"18534","RSMP","RSMP6045",-3.19367,53.492,10250.4598467644
"18535","RSMP","RSMP16207",0.6884,53.49203,13160.6604003451
"18536","RSMP","RSMP16072",0.66615,53.49207,1437.04851061279
"18537","RSMP","RSMP15991",0.65392,53.49219,649.118456741728
"18538","RSMP","RSMP5253",-3.54894,53.49256,12894.6071882657
"18539","RSMP","RSMP13016",0.39306,53.49263,4643.29542811568
"18540","RSMP","RSMP16160",0.67896,53.49268,9663.11061607204
"18541","RSMP","RSMP4693",-3.64609,53.49271,1521.10624491064
"18542","RSMP","RSMP23295",1.95598,53.49272,362.520232097626
"18543","RSMP","RSMP15844",0.63747,53.49295,114798.498691595
"18544","RSMP","RSMP4251",-3.74261,53.49297,1394.02416545987
"18545","RSMP","RSMP11601",0.20341,53.49298,591.40979277036
"18546","RSMP","RSMP12847",0.36843,53.49303,2256.50613892105
"18547","RSMP","RSMP3793",-3.94192,53.49305,3811.40560562521
"18548","RSMP","RSMP15928",0.64646,53.49314,164.752857047169
"18549","RSMP","RSMP1666",-5.0552,53.49321,6443.93347789273
"18550","RSMP","RSMP16076",0.66647,53.49323,36446.6808075733
"18551","RSMP","RSMP5634",-3.44187,53.49371,2553.5601593999
"18552","RSMP","RSMP5506",-3.49135,53.49374,1457.33804506611
"18553","RSMP","RSMP11452",0.17674,53.49376,833.830560898351
"18554","RSMP","RSMP15576",0.60642,53.49377,13114.4600867795
"18555","RSMP","RSMP5953",-3.22986,53.49381,118.550472967072
"18556","RSMP","RSMP5028",-3.58917,53.49384,2576.29301577563
"18557","RSMP","RSMP23731",2.00514,53.49388,993.850604565621
"18558","RSMP","RSMP23956",2.02341,53.49391,1076.86283723595
"18559","RSMP","RSMP4454",-3.6852,53.49412,215.642406581281
"18560","RSMP","RSMP23467",1.97841,53.49419,426.783337348539
"18561","RSMP","RSMP15839",0.63716,53.49424,4011.98563510939
"18562","RSMP","RSMP15827",0.63669,53.49442,1292.35928060879
"18563","RSMP","RSMP22230",1.8629,53.49445,3412.33851408227
"18564","RSMP","RSMP15829",0.63674,53.49453,2977.52940562214
"18565","RSMP","RSMP23389",1.96922,53.49474,238.47947634779
"18566","RSMP","RSMP15577",0.60646,53.4951,12.206220696413
"18567","RSMP","RSMP5314",-3.53061,53.49515,8744.90924852463
"18568","RSMP","RSMP4783",-3.62776,53.49528,697.126073100974
"18569","RSMP","RSMP6010",-3.20709,53.49541,1733.16135199222
"18570","RSMP","RSMP6011",-3.20707,53.49541,903.795603098568
"18571","RSMP","RSMP6009",-3.20711,53.49542,2118.76385481943
"18572","RSMP","RSMP6012",-3.20706,53.49543,1259.36456814378
"18573","RSMP","RSMP6008",-3.20715,53.49545,1750.97998634374
"18574","RSMP","RSMP6007",-3.20721,53.49547,765.843648056796
"18575","RSMP","RSMP23002",1.9272,53.49551,5279.65443446189
"18576","RSMP","RSMP4313",-3.72428,53.49553,349.686048215016
"18577","RSMP","RSMP6003",-3.20777,53.49556,2567.74784277102
"18578","RSMP","RSMP6005",-3.20775,53.49556,1754.86297403917
"18579","RSMP","RSMP6006",-3.2077,53.49556,611.19993446172
"18580","RSMP","RSMP6001",-3.20784,53.49557,319.56540238414
"18581","RSMP","RSMP6004",-3.20776,53.49558,1356.39368936328
"18582","RSMP","RSMP6002",-3.20778,53.49559,1798.51979039237
"18583","RSMP","RSMP5999",-3.20839,53.49566,687.683628897742
"18584","RSMP","RSMP14502",0.5463,53.49567,6.62204427974841
"18585","RSMP","RSMP5997",-3.20847,53.4957,1181.9949463555
"18586","RSMP","RSMP5998",-3.20846,53.4957,1945.7440341855
"18587","RSMP","RSMP6000",-3.20835,53.4957,1077.0994656721
"18588","RSMP","RSMP5995",-3.20855,53.49572,1203.74702096216
"18589","RSMP","RSMP5996",-3.20849,53.49572,3282.50175078568
"18590","RSMP","RSMP23008",1.92797,53.49596,968994.021294681
"18591","RSMP","RSMP5141",-3.56983,53.49643,1476.63387736579
