"","data","sta","x","y","TotalDens"
"11694","RSMP","RSMP24252",2.04942,51.7544,920
"11695","RSMP","RSMP17277",0.9484,51.7549,1440
"11696","RSMP","RSMP20267",1.58662,51.75557,320
"11697","RSMP","RSMP23301",1.95662,51.75575,1080
"11698","RSMP","RSMP17210",0.93271,51.75592,3750
"11699","RSMP","RSMP20587",1.64125,51.75602,90
"11700","RSMP","RSMP1426",-5.18543,51.75706,2640
"11701","RSMP","RSMP19379",1.45397,51.75707,2620
"11702","RSMP","RSMP17335",0.96223,51.75754,290
"11703","RSMP","RSMP19236",1.41282,51.75764,3240
"11704","RSMP","RSMP17336",0.96239,51.7577,50
"11705","RSMP","RSMP20284",1.58975,51.75786,1280
"11706","RSMP","RSMP21040",1.68827,51.75818,2170
"11707","RSMP","RSMP19270",1.42186,51.75837,15150
"11708","RSMP","RSMP19185",1.39611,51.75874,8400
"11709","RSMP","RSMP17968",1.09973,51.75878,5350
"11710","RSMP","RSMP17970",1.09977,51.75878,4650
"11711","RSMP","RSMP17979",1.10147,51.75883,510
"11712","RSMP","RSMP17969",1.09975,51.75891,2540
"11713","RSMP","RSMP20370",1.60647,51.75914,330
"11714","RSMP","RSMP20413",1.61532,51.75947,250
"11715","RSMP","RSMP1334",-5.26,51.76,90
"11716","RSMP","RSMP1366",-5.23,51.76,2700
"11717","RSMP","RSMP20540",1.63079,51.76006,240
"11718","RSMP","RSMP18302",1.18047,51.76017,1850
"11719","RSMP","RSMP19204",1.40462,51.76017,1370
"11720","RSMP","RSMP17536",0.99882,51.76022,6130
"11721","RSMP","RSMP17538",0.99904,51.76045,1360
"11722","RSMP","RSMP17591",1.01316,51.76049,1400
"11723","RSMP","RSMP24220",2.0468,51.76052,820
"11724","RSMP","RSMP1359",-5.23458,51.76061,2870
"11725","RSMP","RSMP19013",1.32915,51.76083,430
"11726","RSMP","RSMP18319",1.18552,51.76092,390
"11727","RSMP","RSMP18318",1.1854,51.76095,270
"11728","RSMP","RSMP21304",1.73049,51.7612,85830
"11729","RSMP","RSMP20599",1.64526,51.76139,230
"11730","RSMP","RSMP23559",1.9894,51.7615,1430
"11731","RSMP","RSMP23557",1.98922,51.76155,3220
"11732","RSMP","RSMP23558",1.98926,51.76159,1760
"11733","RSMP","RSMP17415",0.97915,51.76182,680
"11734","RSMP","RSMP1328",-5.26631,51.76222,60
"11735","RSMP","RSMP19151",1.38672,51.76224,610
"11736","RSMP","RSMP18917",1.29882,51.76295,1090
"11737","RSMP","RSMP18918",1.29893,51.76297,330
"11738","RSMP","RSMP18922",1.30048,51.763,70
"11739","RSMP","RSMP18916",1.29863,51.76306,180
"11740","RSMP","RSMP22604",1.89881,51.76388,900
"11741","RSMP","RSMP25548",2.28291,51.76415,3400
"11742","RSMP","RSMP24023",2.03244,51.76442,260
"11743","RSMP","RSMP25665",2.32697,51.76443,2200
"11744","RSMP","RSMP17168",0.91498,51.76469,2850
"11745","RSMP","RSMP25882",2.41502,51.76495,660
"11746","RSMP","RSMP19601",1.50388,51.76505,12480
"11747","RSMP","RSMP19262",1.41985,51.76531,26490
"11748","RSMP","RSMP17269",0.94686,51.76574,850
"11749","RSMP","RSMP17303",0.95722,51.76607,770
"11750","RSMP","RSMP17584",1.01018,51.76656,1510
"11751","RSMP","RSMP20717",1.66034,51.76659,890
"11752","RSMP","RSMP17200",0.92712,51.76661,5730
"11753","RSMP","RSMP19177",1.39412,51.76696,600
"11754","RSMP","RSMP17683",1.0402,51.76717,160
"11755","RSMP","RSMP18499",1.21649,51.76738,170
"11756","RSMP","RSMP18508",1.21766,51.7674,290
"11757","RSMP","RSMP18507",1.21747,51.76742,330
"11758","RSMP","RSMP18509",1.21795,51.76748,10
"11759","RSMP","RSMP18506",1.21736,51.7675,1120
"11760","RSMP","RSMP18519",1.2194,51.7675,700
"11761","RSMP","RSMP18495",1.216,51.76751,90
"11762","RSMP","RSMP17494",0.98833,51.76762,2190
"11763","RSMP","RSMP18497",1.21635,51.76769,90
"11764","RSMP","RSMP17496",0.98846,51.76773,2830
"11765","RSMP","RSMP18852",1.28423,51.76792,200
"11766","RSMP","RSMP17270",0.94693,51.76797,4870
"11767","RSMP","RSMP20705",1.65778,51.76827,90
"11768","RSMP","RSMP17659",1.03138,51.76829,510
"11769","RSMP","RSMP17658",1.03112,51.76841,150
"11770","RSMP","RSMP23647",1.99954,51.76863,1500
"11771","RSMP","RSMP17615",1.01952,51.76882,490
"11772","RSMP","RSMP23543",1.98708,51.76897,8900
"11773","RSMP","RSMP19189",1.40156,51.76935,38680
"11774","RSMP","RSMP17406",0.97746,51.76972,2540
