"","data","sta","x","y","AFDW_S"
"132","HELCOM","HELCOM217",15.79733333,55.83283333,NA
"133","HELCOM","HELCOM218",15.79738333,55.83298333,0.00835820895522388
"134","HELCOM","HELCOM219",15.84028333,55.86288333,0.0188215767634855
"135","HELCOM","HELCOM22",9.8855,55.25433333,52.8418996420451
"136","HELCOM","HELCOM220",15.8405,55.86283333,NA
"137","HELCOM","HELCOM221",15.8405,55.8629,0.00208955223880597
"138","HELCOM","HELCOM222",15.8406,55.8629,0.0292537313432837
"139","HELCOM","HELCOM223",15.84071667,55.8629,0.0671134020618557
"140","HELCOM","HELCOM224",15.84413333,55.83285,NA
"141","HELCOM","HELCOM225",15.8442,55.8329,0.00208955223880597
"142","HELCOM","HELCOM226",15.8443,55.8329,NA
"143","HELCOM","HELCOM227",15.84431667,55.83278333,NA
"144","HELCOM","HELCOM228",15.84433333,55.83283333,0.00626865671641792
"145","HELCOM","HELCOM229",15.8935,55.9525,0.332238805970148
"146","HELCOM","HELCOM23",9.9495,55.84795,5.84715940384406
"147","HELCOM","HELCOM230",15.89358333,55.95226667,0.0281443298969073
"148","HELCOM","HELCOM231",15.89361667,55.95266667,0.248863070539419
"149","HELCOM","HELCOM232",15.8937,55.9525,0.213134328358209
"150","HELCOM","HELCOM233",15.8937,55.95258333,0.125373134328358
"151","HELCOM","HELCOM234",15.93318333,55.75018333,NA
"152","HELCOM","HELCOM235",15.9333,55.75021667,NA
"153","HELCOM","HELCOM236",15.93338333,55.7501,NA
"154","HELCOM","HELCOM237",15.9833,55.25,0.00225
"155","HELCOM","HELCOM238",16.88881667,57.58575,0.00209128630705394
"156","HELCOM","HELCOM239",16.88888333,57.58578333,NA
"157","HELCOM","HELCOM24",10.07118333,55.16486667,0.00238756667724436
"158","HELCOM","HELCOM240",16.88898333,57.58573333,0.00432989690721648
"159","HELCOM","HELCOM241",16.889,57.58583333,0.00626865671641792
"160","HELCOM","HELCOM242",16.88908333,57.58578333,0.00208955223880597
"161","HELCOM","HELCOM243",16.9037,57.56138333,NA
"162","HELCOM","HELCOM244",16.90373333,57.56155,NA
"163","HELCOM","HELCOM245",16.90383333,57.56148333,NA
"164","HELCOM","HELCOM246",16.9327,57.7164,NA
"165","HELCOM","HELCOM247",16.93275,57.71645,0.00216494845360825
"166","HELCOM","HELCOM248",16.9329,57.7165,0.00626865671641792
"167","HELCOM","HELCOM249",16.933,57.7165,0.00417910447761194
"168","HELCOM","HELCOM25",10.085,55.147,113.59905380178
"169","HELCOM","HELCOM250",16.93305,57.7164,NA
"170","HELCOM","HELCOM251",16.94486667,57.53471667,NA
"171","HELCOM","HELCOM252",16.9451,57.53458333,NA
"172","HELCOM","HELCOM253",16.9451,57.5347,0.00208955223880597
"173","HELCOM","HELCOM254",16.94511667,57.53475,NA
"174","HELCOM","HELCOM255",16.94516667,57.53466667,NA
"175","HELCOM","HELCOM256",16.9505,57.63833333,0.00417910447761194
"176","HELCOM","HELCOM257",16.95056667,57.63841667,NA
"177","HELCOM","HELCOM258",16.9506,57.63838333,0.00104477611940299
"178","HELCOM","HELCOM259",16.95081667,57.63836667,0.00209128630705394
"179","HELCOM","HELCOM26",10.09801667,55.67453333,54.7782271756019
"180","HELCOM","HELCOM260",16.969,57.5253,NA
"181","HELCOM","HELCOM261",16.96918333,57.52526667,NA
"182","HELCOM","HELCOM262",16.97318333,57.72508333,NA
"183","HELCOM","HELCOM263",16.97328333,57.72508333,NA
"184","HELCOM","HELCOM264",16.9733,57.72518333,NA
"185","HELCOM","HELCOM265",16.97333333,57.72518333,NA
"186","HELCOM","HELCOM266",16.9735,57.72516667,NA
"187","HELCOM","HELCOM267",16.9905,57.64891667,NA
"188","HELCOM","HELCOM269",17.00091667,57.60188333,NA
"189","HELCOM","HELCOM27",10.1515,55.61108333,263.839697105516
"190","HELCOM","HELCOM270",17.001,57.6019,NA
"191","HELCOM","HELCOM271",17.06667,55.21667,NA
"192","HELCOM","HELCOM272",17.09146667,57.7333,NA
"193","HELCOM","HELCOM273",17.09156667,57.73336667,NA
"194","HELCOM","HELCOM274",17.09158333,57.7334,NA
"195","HELCOM","HELCOM275",17.22168333,58.5311,NA
"196","HELCOM","HELCOM276",17.2219,58.53098333,NA
"197","HELCOM","HELCOM277",17.22196667,58.53101667,NA
"198","HELCOM","HELCOM278",17.22198333,58.5312,0.0021105527638191
"199","HELCOM","HELCOM279",17.2633,58.5375,0.229850746268657
"200","HELCOM","HELCOM28",10.1757,56.70381667,69.5660567905445
"201","HELCOM","HELCOM280",17.26331667,58.5376,0.0316582914572865
"202","HELCOM","HELCOM281",17.2634,58.53758333,0.0292537313432837
"203","HELCOM","HELCOM282",17.26341667,58.53751667,0.173576763485477
"204","HELCOM","HELCOM283",17.27235,58.51463333,0.037643153526971
"205","HELCOM","HELCOM284",17.2725,58.5146,0.0585074626865671
"206","HELCOM","HELCOM285",17.2726,58.5146,0.064776119402985
"207","HELCOM","HELCOM286",17.27261667,58.51466667,0.0717587939698492
"208","HELCOM","HELCOM287",17.2895,60.95016667,NA
"209","HELCOM","HELCOM288",17.29008333,58.54898333,0.0229850746268657
"210","HELCOM","HELCOM289",17.29008333,58.54905,0.0337688442211055
"211","HELCOM","HELCOM29",10.20836667,56.47206667,NA
"212","HELCOM","HELCOM290",17.29018333,58.54898333,0.0229850746268657
"213","HELCOM","HELCOM291",17.29361667,58.55036667,0.508182572614107
"214","HELCOM","HELCOM292",17.31568333,58.51958333,NA
"215","HELCOM","HELCOM293",17.31591667,58.51988333,NA
"216","HELCOM","HELCOM294",17.31598333,58.51948333,NA
"217","HELCOM","HELCOM295",17.31598333,58.51958333,NA
"218","HELCOM","HELCOM296",17.31883333,61.46066667,NA
"219","HELCOM","HELCOM297",17.34758333,58.45388333,0.00208955223880597
"220","HELCOM","HELCOM298",17.34768333,58.454,NA
"221","HELCOM","HELCOM299",17.34773333,58.45375,NA
"222","HELCOM","HELCOM3",8.83091667,56.73393333,0.0174248606011152
"223","HELCOM","HELCOM30",10.22453333,56.5454,0.0399445375507046
"224","HELCOM","HELCOM300",17.34776667,58.45358333,NA
"225","HELCOM","HELCOM301",17.3485,61.03283333,NA
"226","HELCOM","HELCOM302",17.35216667,61.072,NA
"227","HELCOM","HELCOM303",17.35883333,61.953,NA
"228","HELCOM","HELCOM304",17.35988333,61.37578333,NA
"229","HELCOM","HELCOM305",17.36028333,61.37578333,NA
"230","HELCOM","HELCOM306",17.3603,61.37585,NA
"231","HELCOM","HELCOM307",17.36033333,61.37566667,NA
"232","HELCOM","HELCOM308",17.36035,61.37576667,NA
"233","HELCOM","HELCOM309",17.36483333,61.92716667,NA
"234","HELCOM","HELCOM31",10.22803333,56.51623333,0.0144410522784308
"235","HELCOM","HELCOM310",17.3683,61.39308333,0.0528641972335277
"236","HELCOM","HELCOM311",17.3683,61.3932,NA
"237","HELCOM","HELCOM312",17.36831667,61.39315,NA
"238","HELCOM","HELCOM313",17.3684,58.56138333,0.08044776119403
"239","HELCOM","HELCOM314",17.36843333,61.39315,0.013189430880772
"240","HELCOM","HELCOM315",17.36845,58.56136667,0.0274371859296483
"241","HELCOM","HELCOM316",17.3685,61.39316667,NA
"242","HELCOM","HELCOM317",17.36855,58.56131667,0.0460082987551868
"243","HELCOM","HELCOM318",17.3886,58.45178333,NA
"244","HELCOM","HELCOM319",17.38865,58.45181667,NA
"245","HELCOM","HELCOM32",10.23183333,56.71223333,15.7566017390887
"246","HELCOM","HELCOM320",17.38905,58.45188333,0.00422110552763819
"247","HELCOM","HELCOM321",17.3895,61.788,NA
"248","HELCOM","HELCOM322",17.395,61.98583333,NA
"249","HELCOM","HELCOM323",17.40691667,58.45716667,NA
"250","HELCOM","HELCOM324",17.407,58.45738333,0.00313432835820895
"251","HELCOM","HELCOM325",17.40701667,58.45751667,0.00633165829145728
"252","HELCOM","HELCOM326",17.42675,58.47065,NA
"253","HELCOM","HELCOM327",17.4268,58.4707,NA
"254","HELCOM","HELCOM328",17.42691667,58.47076667,NA
"255","HELCOM","HELCOM329",17.42933333,61.37783333,0.0264054533560614
"256","HELCOM","HELCOM33",10.23253333,56.49056667,NA
"257","HELCOM","HELCOM330",17.4294,61.37768333,0.0264855507878796
"258","HELCOM","HELCOM331",17.42953333,61.3777,0.0395682926423157
"259","HELCOM","HELCOM332",17.4296,61.37768333,0.0264320986167639
"260","HELCOM","HELCOM333",17.4297,61.3776,0.0394095432234899
"261","HELCOM","HELCOM334",17.43271667,61.34413333,0.0788190864469799
"262","HELCOM","HELCOM335",17.4329,61.3442,NA
"263","HELCOM","HELCOM336",17.43296667,61.34415,NA
"264","HELCOM","HELCOM337",17.43298333,61.34408333,0.0529711015757593
"265","HELCOM","HELCOM338",17.43316667,61.344,0.0396081800340923
"266","HELCOM","HELCOM339",17.44583333,60.84566667,0.0131497036793238
"267","HELCOM","HELCOM34",10.24275,55.81978333,843.3484690973
"268","HELCOM","HELCOM340",17.45133333,60.93333333,NA
"269","HELCOM","HELCOM341",17.49666667,61.98583333,NA
"270","HELCOM","HELCOM342",17.513,61.35158333,NA
"271","HELCOM","HELCOM343",17.51311667,61.35163333,NA
"272","HELCOM","HELCOM344",17.5133,61.35171667,NA
"273","HELCOM","HELCOM345",17.5134,61.3517,NA
"274","HELCOM","HELCOM346",17.552,58.84083333,0.00964593301435407
"275","HELCOM","HELCOM347",17.57166667,61.85883333,0.0132027266780307
"276","HELCOM","HELCOM348",17.57633333,58.82633333,NA
"277","HELCOM","HELCOM349",17.57766667,58.803,3.3975635521025
"278","HELCOM","HELCOM35",10.24603333,56.5629,0.104194229676843
"279","HELCOM","HELCOM350",17.59066667,61.90533333,NA
"280","HELCOM","HELCOM351",17.59308333,61.3239,NA
"281","HELCOM","HELCOM352",17.59321667,61.32398333,NA
"282","HELCOM","HELCOM353",17.59328333,61.32398333,NA
"283","HELCOM","HELCOM354",17.59338333,61.324,0.0131365144078299
"284","HELCOM","HELCOM355",17.60033333,58.75116667,0.415820895522389
"285","HELCOM","HELCOM356",17.60216667,61.81,0.0132027266780307
"286","HELCOM","HELCOM357",17.607,58.811,NA
"287","HELCOM","HELCOM358",17.6195,58.733,0.0417910447761194
"288","HELCOM","HELCOM359",17.629,61.18958333,NA
