"","data","sta","x","y","AFDW"
"27567","ODAM","ODAM1155",10.2412,56.1481,164.755079655492
"27568","SHARK","SHARK945",15.6439,56.1482,109.569153255046
"27569","SHARK","SHARK977",15.6853,56.1482,22.4278892744194
"27570","SHARK","SHARK941",15.6402,56.1483,81.6652466060945
"27571","SHARK","SHARK988",15.6893,56.1483,25.778530144252
"27572","SHARK","SHARK940",15.64,56.1484,57.4390313860407
"27573","RSMP","RSMP6709",-2.54559,56.1487,18.2555472923909
"27574","SHARK","SHARK972",15.6768,56.1488,19.1863325220245
"27575","SHARK","SHARK994",15.6936,56.1488,34.3129699775745
"27576","SHARK","SHARK918",15.6121,56.1489,31.9017874017062
"27577","SHARK","SHARK819",15.5,56.149,35.4469778752946
"27578","SHARK","SHARK914",15.6116,56.149,39.9058207155034
"27579","SHARK","SHARK913",15.6115,56.1491,20.6844979599002
"27580","SHARK","SHARK915",15.6116,56.1491,39.6693197383533
"27581","SHARK","SHARK916",15.6117,56.1491,27.7823177672037
"27582","SHARK","SHARK917",15.6118,56.1491,23.5110180216205
"27583","SHARK","SHARK954",15.6589,56.1491,56.5162402497826
"27584","RSMP","RSMP6933",-2.14329,56.14918,37.5728575248992
"27585","ODAM","ODAM1180",10.251,56.1492,11.6902888677163
"27586","RSMP","RSMP25984",2.49184,56.14929,8.14349942915397
"27587","RSMP","RSMP6808",-2.34642,56.14934,10.4782977523419
"27588","SHARK","SHARK691",14.9439,56.1494,22.800129732052
"27589","SHARK","SHARK912",15.6114,56.1495,32.5076158372989
"27590","SHARK","SHARK755",15.2662,56.1496,2.7404212016906
"27591","RSMP","RSMP6889",-2.20765,56.14964,23.4899431584395
"27592","RSMP","RSMP6717",-2.53269,56.14971,71.1530468053978
"27593","SHARK","SHARK856",15.5714,56.1499,4.39139581391837
"27594","SHARK","SHARK907",15.6089,56.1499,6.37569835109227
"27595","SHARK","SHARK909",15.6091,56.1499,13.9862349192198
"27596","SHARK","SHARK910",15.6092,56.1499,4.90723773517238
"27597","SHARK","SHARK919",15.6131,56.1499,2.3975650259403
"27598","SHARK","SHARK804",15.46,56.15,137.803581320472
"27599","SHARK","SHARK906",15.6088,56.15,2.19145743028591
"27600","SHARK","SHARK908",15.6089,56.15,15.3210412373861
"27601","SHARK","SHARK969",15.6695,56.15,27.6693733794366
"27602","SHARK","SHARK955",15.6614,56.1501,12.9879886302083
"27603","ODAM","ODAM1435",10.4077,56.1502,50.2818917169743
"27604","SHARK","SHARK962",15.6668,56.1502,17.7157723559797
"27605","SHARK","SHARK649",14.8565,56.1503,3.19858351257387
"27606","SHARK","SHARK995",15.6943,56.1503,33.3562819078689
"27607","SHARK","SHARK960",15.6666,56.1504,9.01814114207646
"27608","SHARK","SHARK964",15.6669,56.1505,12.7372374518764
"27609","SHARK","SHARK951",15.6572,56.1506,21.7507786477255
"27610","SHARK","SHARK959",15.6664,56.1506,15.1987196645512
"27611","SHARK","SHARK961",15.6667,56.1506,91.7473424781694
"27612","SHARK","SHARK965",15.6669,56.1506,53.7130777324014
"27613","ODAM","ODAM1158",10.2432,56.1507,71.8141982192397
