"","data","sta","x","y","AFDW_Omni"
"114","HELCOM","HELCOM200",15.72541667,55.75005,0.00266836897542286
"115","HELCOM","HELCOM201",15.7256,55.7498,NA
"116","HELCOM","HELCOM202",15.72566667,55.75,NA
"117","HELCOM","HELCOM203",15.72568333,55.7498,NA
"118","HELCOM","HELCOM204",15.72593333,55.75,NA
"119","HELCOM","HELCOM205",15.7268,55.8824,0.00800510692626857
"120","HELCOM","HELCOM206",15.72683333,55.88233333,0.00266615639749962
"121","HELCOM","HELCOM207",15.7269,55.8823,0.00466577369562433
"122","HELCOM","HELCOM208",15.72693333,55.88231667,0.00690589479249257
"123","HELCOM","HELCOM209",15.77258333,55.85701667,0.00138117895849851
"124","HELCOM","HELCOM21",9.85353333,56.6453,95.5867921569009
"125","HELCOM","HELCOM210",15.7726,55.85683333,0.00800510692626857
"126","HELCOM","HELCOM211",15.7728,55.85698333,0.00266615639749962
"127","HELCOM","HELCOM212",15.77283333,55.857,0.00266615639749962
"128","HELCOM","HELCOM213",15.77288333,55.8569,0.00399923459624943
"129","HELCOM","HELCOM214",15.79695,55.83291667,0.00133418448771143
"130","HELCOM","HELCOM215",15.79723333,55.83283333,0.0151929685434836
"131","HELCOM","HELCOM216",15.79728333,55.83298333,NA
"132","HELCOM","HELCOM217",15.79733333,55.83283333,0.00133307819874981
"133","HELCOM","HELCOM218",15.79738333,55.83298333,0.00399923459624943
"134","HELCOM","HELCOM219",15.84028333,55.86288333,0.00133418448771143
"135","HELCOM","HELCOM22",9.8855,55.25433333,458.657303187983
"136","HELCOM","HELCOM220",15.8405,55.86283333,0.00266615639749962
"137","HELCOM","HELCOM221",15.8405,55.8629,0.00933154739124867
"138","HELCOM","HELCOM222",15.8406,55.8629,0.00133307819874981
"139","HELCOM","HELCOM223",15.84071667,55.8629,NA
"140","HELCOM","HELCOM224",15.84413333,55.83285,0.00138117895849851
"141","HELCOM","HELCOM225",15.8442,55.8329,NA
"142","HELCOM","HELCOM226",15.8443,55.8329,NA
"143","HELCOM","HELCOM227",15.84431667,55.83278333,0.00133418448771143
"144","HELCOM","HELCOM228",15.84433333,55.83283333,NA
"145","HELCOM","HELCOM229",15.8935,55.9525,0.00399923459624943
"146","HELCOM","HELCOM23",9.9495,55.84795,1171.33506897151
"147","HELCOM","HELCOM230",15.89358333,55.95226667,0.0165741475019822
"148","HELCOM","HELCOM231",15.89361667,55.95266667,0.00133418448771143
"149","HELCOM","HELCOM232",15.8937,55.9525,0.00266615639749962
"150","HELCOM","HELCOM233",15.8937,55.95258333,0.00399923459624943
"151","HELCOM","HELCOM234",15.93318333,55.75018333,NA
"152","HELCOM","HELCOM235",15.9333,55.75021667,NA
"153","HELCOM","HELCOM236",15.93338333,55.7501,NA
"154","HELCOM","HELCOM237",15.9833,55.25,NA
"155","HELCOM","HELCOM238",16.88881667,57.58575,0.00800510692626857
"156","HELCOM","HELCOM239",16.88888333,57.58578333,0.00133307819874981
"157","HELCOM","HELCOM24",10.07118333,55.16486667,0.0130706691682298
"158","HELCOM","HELCOM240",16.88898333,57.58573333,0.00690589479249257
"159","HELCOM","HELCOM241",16.889,57.58583333,0.00133307819874981
"160","HELCOM","HELCOM242",16.88908333,57.58578333,0.00266615639749962
"161","HELCOM","HELCOM243",16.9037,57.56138333,NA
"162","HELCOM","HELCOM244",16.90373333,57.56155,NA
"163","HELCOM","HELCOM245",16.90383333,57.56148333,NA
"164","HELCOM","HELCOM246",16.9327,57.7164,0.00666539099374905
"165","HELCOM","HELCOM247",16.93275,57.71645,0.00690589479249257
"166","HELCOM","HELCOM248",16.9329,57.7165,0.0119977037887483
"167","HELCOM","HELCOM249",16.933,57.7165,NA
"168","HELCOM","HELCOM25",10.085,55.147,182.05555020894
"169","HELCOM","HELCOM250",16.93305,57.7164,0.00266836897542286
"170","HELCOM","HELCOM251",16.94486667,57.53471667,0.00276235791699702
"171","HELCOM","HELCOM252",16.9451,57.53458333,NA
"172","HELCOM","HELCOM253",16.9451,57.5347,NA
"173","HELCOM","HELCOM254",16.94511667,57.53475,NA
"174","HELCOM","HELCOM255",16.94516667,57.53466667,NA
"175","HELCOM","HELCOM256",16.9505,57.63833333,0.00399923459624943
"176","HELCOM","HELCOM257",16.95056667,57.63841667,0.00138117895849851
"177","HELCOM","HELCOM258",16.9506,57.63838333,0.00999808649062358
"178","HELCOM","HELCOM259",16.95081667,57.63836667,0.00266836897542286
"179","HELCOM","HELCOM26",10.09801667,55.67453333,243.918493195678
"180","HELCOM","HELCOM260",16.969,57.5253,NA
"181","HELCOM","HELCOM261",16.96918333,57.52526667,NA
"182","HELCOM","HELCOM262",16.97318333,57.72508333,NA
"183","HELCOM","HELCOM263",16.97328333,57.72508333,0.00133307819874981
"184","HELCOM","HELCOM264",16.9733,57.72518333,0.00138117895849851
"185","HELCOM","HELCOM265",16.97333333,57.72518333,NA
"186","HELCOM","HELCOM266",16.9735,57.72516667,NA
"187","HELCOM","HELCOM267",16.9905,57.64891667,NA
"188","HELCOM","HELCOM269",17.00091667,57.60188333,NA
"189","HELCOM","HELCOM27",10.1515,55.61108333,272.905834932036
"190","HELCOM","HELCOM270",17.001,57.6019,NA
"191","HELCOM","HELCOM271",17.06667,55.21667,NA
"192","HELCOM","HELCOM272",17.09146667,57.7333,NA
"193","HELCOM","HELCOM273",17.09156667,57.73336667,NA
"194","HELCOM","HELCOM274",17.09158333,57.7334,NA
"195","HELCOM","HELCOM275",17.22168333,58.5311,NA
"196","HELCOM","HELCOM276",17.2219,58.53098333,NA
"197","HELCOM","HELCOM277",17.22196667,58.53101667,NA
"198","HELCOM","HELCOM278",17.22198333,58.5312,NA
"199","HELCOM","HELCOM279",17.2633,58.5375,0.00133307819874981
"200","HELCOM","HELCOM28",10.1757,56.70381667,5576.15117035604
"201","HELCOM","HELCOM280",17.26331667,58.5376,1.36889558221216
"202","HELCOM","HELCOM281",17.2634,58.53758333,NA
"203","HELCOM","HELCOM282",17.26341667,58.53751667,6.77666046188867
"204","HELCOM","HELCOM283",17.27235,58.51463333,0.00133418448771143
"205","HELCOM","HELCOM284",17.2725,58.5146,NA
"206","HELCOM","HELCOM285",17.2726,58.5146,0.00133307819874981
"207","HELCOM","HELCOM286",17.27261667,58.51466667,0.00673237984795757
"208","HELCOM","HELCOM287",17.2895,60.95016667,NA
"209","HELCOM","HELCOM288",17.29008333,58.54898333,0.00133307819874981
"210","HELCOM","HELCOM289",17.29008333,58.54905,NA
"211","HELCOM","HELCOM29",10.20836667,56.47206667,651.909858118282
"212","HELCOM","HELCOM290",17.29018333,58.54898333,NA
"213","HELCOM","HELCOM291",17.29361667,58.55036667,0.00266836897542286
"214","HELCOM","HELCOM292",17.31568333,58.51958333,NA
"215","HELCOM","HELCOM293",17.31591667,58.51988333,NA
"216","HELCOM","HELCOM294",17.31598333,58.51948333,NA
"217","HELCOM","HELCOM295",17.31598333,58.51958333,NA
"218","HELCOM","HELCOM296",17.31883333,61.46066667,NA
"219","HELCOM","HELCOM297",17.34758333,58.45388333,0.00266615639749962
"220","HELCOM","HELCOM298",17.34768333,58.454,NA
"221","HELCOM","HELCOM299",17.34773333,58.45375,NA
