"","data","sta","x","y","AFDW_Dep"
"261","HELCOM","HELCOM334",17.43271667,61.34413333,9.45203477615682
"262","HELCOM","HELCOM335",17.4329,61.3442,10.8609560277766
"263","HELCOM","HELCOM336",17.43296667,61.34415,11.2659563166484
"264","HELCOM","HELCOM337",17.43298333,61.34408333,9.87728844812004
"265","HELCOM","HELCOM338",17.43316667,61.344,9.39059738375761
"266","HELCOM","HELCOM339",17.44583333,60.84566667,0.984630258379909
"267","HELCOM","HELCOM34",10.24275,55.81978333,213.910658931922
"268","HELCOM","HELCOM340",17.45133333,60.93333333,9.18131099597369
"269","HELCOM","HELCOM341",17.49666667,61.98583333,2.72401776960611
"270","HELCOM","HELCOM342",17.513,61.35158333,2.74987096289396
"271","HELCOM","HELCOM343",17.51311667,61.35163333,2.13132026343937
"272","HELCOM","HELCOM344",17.5133,61.35171667,8.17731974200442
"273","HELCOM","HELCOM345",17.5134,61.3517,5.27216172428377
"274","HELCOM","HELCOM346",17.552,58.84083333,0.0276455683021689
"275","HELCOM","HELCOM347",17.57166667,61.85883333,3.54018711772961
"276","HELCOM","HELCOM348",17.57633333,58.82633333,0.74438111946557
"277","HELCOM","HELCOM349",17.57766667,58.803,0.417452048742831
"278","HELCOM","HELCOM35",10.24603333,56.5629,8.46063762419274
"279","HELCOM","HELCOM350",17.59066667,61.90533333,8.08357097462562
"280","HELCOM","HELCOM351",17.59308333,61.3239,3.14378588662538
"281","HELCOM","HELCOM352",17.59321667,61.32398333,3.50445944252639
"282","HELCOM","HELCOM353",17.59328333,61.32398333,5.8286091991512
"283","HELCOM","HELCOM354",17.59338333,61.324,7.4296449589313
"284","HELCOM","HELCOM355",17.60033333,58.75116667,1.4645246259237
"285","HELCOM","HELCOM356",17.60216667,61.81,5.60627206831837
"286","HELCOM","HELCOM357",17.607,58.811,0.304659035909
"287","HELCOM","HELCOM358",17.6195,58.733,0.936207771041587
"288","HELCOM","HELCOM359",17.629,61.18958333,1.67844736308082
"289","HELCOM","HELCOM36",10.2512,55.00028333,7.91945585446549
"290","HELCOM","HELCOM360",17.62901667,61.18943333,2.32958531947023
"291","HELCOM","HELCOM361",17.6291,61.18958333,2.7222108244508
"292","HELCOM","HELCOM362",17.62925,61.18948333,0.611398714785964
"293","HELCOM","HELCOM363",17.65283333,58.7815,1.37021354428149
"294","HELCOM","HELCOM364",17.653,58.76783333,2.24685995470671
"295","HELCOM","HELCOM365",17.66028333,61.27048333,3.88835356112122
"296","HELCOM","HELCOM366",17.66038333,61.2704,1.24683387728605
"297","HELCOM","HELCOM367",17.66038333,61.2705,2.18624255172464
"298","HELCOM","HELCOM368",17.6605,61.27033333,2.65859064801483
"299","HELCOM","HELCOM369",17.66317,61.23333,7.07418769977803
"300","HELCOM","HELCOM37",10.25586667,56.56623333,1.08955043065753
"301","HELCOM","HELCOM370",17.6646,61.25248333,2.29689026683357
"302","HELCOM","HELCOM371",17.66461667,61.25248333,3.97289334624994
"303","HELCOM","HELCOM372",17.66478333,61.25248333,4.54287720583037
"304","HELCOM","HELCOM373",17.66503333,61.25248333,2.12754819412854
"305","HELCOM","HELCOM374",17.66666667,61.23341667,0.582502533662742
"306","HELCOM","HELCOM375",17.66668333,61.23328333,0.673709057411936
"307","HELCOM","HELCOM376",17.66668333,61.2334,1.10490268545833
"308","HELCOM","HELCOM377",17.66681667,61.23335,0.802204165383009
"309","HELCOM","HELCOM378",17.6705,58.79716667,0.125750522730302
"310","HELCOM","HELCOM379",17.682,61.9295,2.9717420812773
"311","HELCOM","HELCOM38",10.2622,56.58273333,1.41169589303149
"312","HELCOM","HELCOM380",17.68333333,58.73816667,1.23160837908647
"313","HELCOM","HELCOM381",17.6915,58.774,1.7229880967299
"314","HELCOM","HELCOM382",17.71866667,58.75883333,0.0712188422057643
"315","HELCOM","HELCOM383",17.72833333,58.79033333,0.19171679016047
"316","HELCOM","HELCOM384",17.74,61.94,4.50609262696124
"317","HELCOM","HELCOM385",17.7525,58.76883333,1.75431621529079
"318","HELCOM","HELCOM386",17.76283333,58.79316667,0.136516416103612
"319","HELCOM","HELCOM387",17.81416667,58.744,0.476064036605304
"320","HELCOM","HELCOM388",17.83133333,58.76683333,0.154132318690223
"321","HELCOM","HELCOM389",17.83683333,58.74466667,1.84215533146126
"322","HELCOM","HELCOM39",10.28968333,56.13398333,2139.45796649186
"323","HELCOM","HELCOM390",17.84233333,58.719,0.582172742086516
"324","HELCOM","HELCOM391",18.16667,62.13333,6.37458547233998
"325","HELCOM","HELCOM392",18.23333,61.18333,14.2774434009512
"326","HELCOM","HELCOM393",18.2873,62.79953333,5.56276926767432
"327","HELCOM","HELCOM394",18.28796667,62.7996,1.46969175486937
"328","HELCOM","HELCOM395",18.288,62.7995,4.47092909935078
"329","HELCOM","HELCOM396",18.28818333,62.7997,7.75559879301496
"330","HELCOM","HELCOM397",18.29835,62.7664,1.32462096151989
"331","HELCOM","HELCOM398",18.29898333,62.76598333,2.17229837576682
"332","HELCOM","HELCOM399",18.29918333,62.76618333,2.0380517528878
"333","HELCOM","HELCOM4",8.8603,56.75361667,31.2284615206152
"334","HELCOM","HELCOM40",10.29603333,56.59656667,2.31461057087563
"335","HELCOM","HELCOM400",18.29941667,62.76618333,1.75978521560074
"336","HELCOM","HELCOM401",18.31813333,62.79943333,2.07027575060326
