phy,cla,ord,fam,gen,taxon,Motility,Body size,Burrowing depth,Morphology,Mobility,Mixing type,Mixing rate,Mi,Mi2,Ri,Morphology 2,Morphology 2,Body size 2,Burrowing depth 2,Mixing rate 2
Annelida,Polychaeta,,Capitellidae,,Capitellidae,Tubicolous,3-10cm,0-5cm,Cylindrical,Low,Upward conveying,Very low,2,2,3,1,1,3,2,12
Annelida,Polychaeta,Terebellida,Cirratulidae,Caulleriella,Caulleriella,Tubicolous,3-10cm,0-5cm,Cylindrical,Low,Surface mixing,Very low,2,2,2,1,1,3,2,12
Annelida,Polychaeta,Spionida,Magelonidae,Magelona,Magelona,Crawler,3-10cm,0-5cm,Cylindrical,Low,Surface mixing,Very low,2,2,2,1,1,3,2,12
Annelida,Polychaeta,Spionida,Magelonidae,Magelona,Magelona alleni,Crawler,3-10cm,0-5cm,Cylindrical,Low,Surface mixing,Very low,2,2,2,1,1,3,2,12
Annelida,Polychaeta,Spionida,Magelonidae,Magelona,Magelona rosea,Crawler,3-10cm,0-5cm,Cylindrical,Low,Surface mixing,Very low,2,2,2,1,1,3,2,12
Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,Poecilochaetus serpens,Tubicolous,3-10cm,0-5cm,Cylindrical,Low,Surface mixing,Very low,2,2,2,1,1,3,2,12
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio cirrifera,Tubicolous,3-10cm,0-5cm,Cylindrical,Low,D/U conveying,Very low,2,2,3,1,1,3,2,12
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio malmgreni,Tubicolous,3-10cm,0-5cm,Cylindrical,Low,D/U conveying,Very low,2,2,3,1,1,3,2,12
Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio steenstrupi,Tubicolous,3-10cm,0-5cm,Cylindrical,Low,D/U conveying,Very low,2,2,3,1,1,3,2,12
Annelida,Polychaeta,Spionida,Spionidae,Spio,Spio,Tubicolous,3-10cm,0-5cm,Cylindrical,Low,D/U conveying,Very low,2,2,3,1,1,3,2,12
Annelida,Polychaeta,Spionida,Spionidae,Spio,Spio filicornis,Tubicolous,3-10cm,0-5cm,Cylindrical,Low,D/U conveying,Very low,2,2,3,1,1,3,2,12
Annelida,Polychaeta,Spionida,Spionidae,Spio,Spio goniocephala,Tubicolous,3-10cm,0-5cm,Cylindrical,Low,D/U conveying,Very low,2,2,3,1,1,3,2,12
Annelida,Polychaeta,Phyllodocida,Syllidae,Streptosyllis,Streptosyllis websteri,Crawler,<1cm,0-5cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,2,2,1,2,12
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea catherinae,Crawler,<1cm,10-15cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,1,4,12
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea minuta,Crawler,<1cm,10-15cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,1,4,12
Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,Ampharete,Tubicolous,3-10cm,10-15cm,Cylindrical,Very low,D/U conveying,Very low,1,1,3,1,1,3,4,12
Annelida,Polychaeta,Terebellida,Pectinariidae,Lagis,Lagis koreni,Tubicolous,3-10cm,10-15cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,4,12
Phoronida,,,,Phoronis,Phoronis,Tubicolous,3-10cm,10-15cm,Cylindrical,Very low,Surface mixing,Very low,1,1,2,1,1,3,4,12
Phoronida,,,,Phoronis,Phoronis hippocrepia,Tubicolous,3-10cm,10-15cm,Cylindrical,Very low,Surface mixing,Very low,1,1,2,1,1,3,4,12
Phoronida,,,,Phoronis,Phoronis muelleri,Tubicolous,3-10cm,10-15cm,Cylindrical,Very low,Surface mixing,Very low,1,1,2,1,1,3,4,12
Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,Chaetozone setosa,Crawler,1-3cm,5-10cm,Cylindrical,Low,Surface mixing,Very low,2,2,2,1,1,2,3,12
Arthropoda,Malacostraca,Amphipoda,Dulichiidae,Dyopedos,Dyopedos monacantha,Crawler-Swimmer,<1cm,0cm,Articulated,Intermediate,Surface mixing,Very low,3,3,2,4,5,1,1,15
Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pisidia,Pisidia longicornis,Crawler,<1cm,0cm,Articulated,Intermediate,Surface mixing,Very low,3,3,1,4,5,1,1,15
Arthropoda,Malacostraca,Cumacea,Pseudocumatidae,Pseudocuma,Pseudocuma,Crawler-Swimmer,<1cm,0cm,Articulated,Intermediate,Surface mixing,Very low,3,3,2,4,5,1,1,15
Annelida,Polychaeta,,Maldanidae,Axiothella,Axiothella,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,,Maldanidae,Euclymene,Euclymene droebachiensis,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,,Maldanidae,Euclymene,Euclymene lumbricoides,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,,Maldanidae,Maldane,Maldane sarsi,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,Terebellida,Ampharetidae,Melinna,Melinna cristata,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,D/U conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,Capitellida,Maldanidae,Petaloproctus,Petaloproctus tenuis,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,,Maldanidae,Praxillella,Praxillella,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,,Maldanidae,Praxillella,Praxillella affinis,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,,Maldanidae,Praxillella,Praxillella praetermissa,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,,Maldanidae,Rhodine,Rhodine,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,,Maldanidae,Rhodine,Rhodine gracilior,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Annelida,Polychaeta,,Maldanidae,Rhodine,Rhodine loveni,Tubicolous,3-10cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,3,5,15
Mollusca,Bivalvia,Veneroida,Semelidae,Abra,Abra nitida,Crawler,1-3cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,2,16
Mollusca,Bivalvia,Veneroida,Semelidae,Abra,Abra tenuis,Crawler,1-3cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,2,16
Mollusca,Bivalvia,Myoida,Corbulidae,Corbula,Corbula gibba,Crawler,1-3cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,2,16
Mollusca,Bivalvia,Veneroida,Tellinidae,Macoma,Macoma balthica,Crawler,1-3cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,2,16
Mollusca,Bivalvia,Veneroida,Mactridae,Spisula,Spisula elliptica,Crawler,1-3cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,2,16
Mollusca,Bivalvia,Veneroida,Tellinidae,Tellina,Tellina tenuis,Crawler,1-3cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,2,2,16
Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,Lanice conchilega,Tubicolous,10-20cm,10-15cm,Cylindrical,Very low,Downward conveying,Very low,1,1,3,1,1,4,4,16
Mollusca,Bivalvia,Veneroida,Montacutidae,Tellimya,Tellimya ferruginosa,Crawler,<1cm,10-15cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,1,4,16
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone flava,Crawler,3-10cm,0-5cm,Cylindrical,Intermediate,Diffusion,Very low,3,3,4,1,1,3,2,18
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone longa,Crawler,3-10cm,0-5cm,Cylindrical,Intermediate,Diffusion,Very low,3,3,4,1,1,3,2,18
Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada,Goniada maculata,Crawler-Swimmer,3-10cm,0-5cm,Cylindrical,Intermediate,Diffusion,Very low,3,3,4,1,1,3,2,18
Mollusca,Bivalvia,Pectinoida,Pectinidae,Mimachlamys varia,Mimachlamys varia,Attached,3-10cm,0cm,Bivalved,Intermediate,Surface mixing,Very low,3,3,2,2,2,3,1,18
