"n.acc","Trophy",AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
"Haminoea orbignyana","He",140076,exact,Haminoea orbignyana,140076,Haminoea orbignyana,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,,orbignyana,
"Haploops nirae","Su",101951,exact,Haploops nirae,101951,Haploops nirae,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Haploops,,nirae,
"Haploops tenuis","Su",101957,exact,Haploops tenuis,101957,Haploops tenuis,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Haploops,,tenuis,
"Haploops tubicola","Su",101958,exact,Haploops tubicola,101958,Haploops tubicola,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Haploops,,tubicola,
"Harmothoe imbricata","CaSc",130769,exact,Harmothoe imbricata,130769,Harmothoe imbricata,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,imbricata,
"Harmothoe impar","CaSc",130770,exact,Harmothoe impar,130770,Harmothoe impar,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,impar,
"Harpinia antennaria","Om",102960,exact,Harpinia antennaria,102960,Harpinia antennaria,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia,,antennaria,
"Haustorius arenarius","SuDe",102317,exact,Haustorius arenarius,102317,Haustorius arenarius,Animalia,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Haustorius,,arenarius,
"Hediste diversicolor","Om",152302,exact,Hediste diversicolor,152302,Hediste diversicolor,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,,diversicolor,
"Hemilamprops roseus","SuDe",110514,exact,Hemilamprops roseus,110514,Hemilamprops roseus,Animalia,Arthropoda,Malacostraca,Cumacea,Lampropidae,Hemilamprops,,roseus,
"Hemimysis lamornae","Su",120026,exact,Hemimysis lamornae,120026,Hemimysis lamornae,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Hemimysis,,lamornae,
"Hermania scabra","CaSc",867492,exact,Hermania scabra,867492,Hermania scabra,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Hermania,,scabra,
"Heteromastus filiformis","De",129884,exact,Heteromastus filiformis,129884,Heteromastus filiformis,Animalia,Annelida,Polychaeta,,Capitellidae,Heteromastus,,filiformis,
