"n.acc","Trophy",AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
"Scolelepis (Scolelepis) squamata","Om",157566,exact,Scolelepis (Scolelepis) squamata,157566,Scolelepis (Scolelepis) squamata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,Scolelepis,squamata,
"Scolelepis bonnieri","SuDe",131171,exact,Scolelepis bonnieri,131171,Scolelepis bonnieri,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,,bonnieri,
"Scoletoma fragilis","CaSc",130261,exact,Scoletoma fragilis,130261,Scoletoma fragilis,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,,fragilis,
"Scoloplos armiger","De",130537,exact,Scoloplos armiger,130537,Scoloplos armiger,Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,,armiger,
"Scrobicularia plana","SuDe",141424,exact,Scrobicularia plana,141424,Scrobicularia plana,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Scrobicularia,,plana,
"Semibalanus balanoides","Su",106210,exact,Semibalanus balanoides,106210,Semibalanus balanoides,Animalia,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Semibalanus,,balanoides,
"Sepiola atlantica","CaSc",141454,exact,Sepiola atlantica,141454,Sepiola atlantica,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiolidae,Sepiola,,atlantica,
"Sigalion mathildae","CaSc",131072,exact,Sigalion mathildae,131072,Sigalion mathildae,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalion,,mathildae,
"Solen marginatus","Su",141546,exact,Solen marginatus,141546,Solen marginatus,Animalia,Mollusca,Bivalvia,Adapedonta,Solenidae,Solen,,marginatus,
"Sphaerechinus granularis","He",124427,exact,Sphaerechinus granularis,124427,Sphaerechinus granularis,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Sphaerechinus,,granularis,
"Sphenia binghami","Su",140432,exact,Sphenia binghami,140432,Sphenia binghami,Animalia,Mollusca,Bivalvia,Myida,Myidae,Sphenia,,binghami,
"Spio decorata","De",152314,exact,Spio decorata,152314,Spio decorata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,,decorata,
"Spio filicornis","De",131183,exact,Spio filicornis,131183,Spio filicornis,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,,filicornis,
"Spio goniocephala","De",131184,exact,Spio goniocephala,131184,Spio goniocephala,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,,goniocephala,
"Spio martinensis","De",131185,exact,Spio martinensis,131185,Spio martinensis,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,,martinensis,
"Spiophanes bombyx","Om",131187,exact,Spiophanes bombyx,131187,Spiophanes bombyx,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,bombyx,
"Spirobranchus triqueter","Su",555935,exact,Spirobranchus triqueter,555935,Spirobranchus triqueter,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus,,triqueter,
"Spisula elliptica","Su",140300,exact,Spisula elliptica,140300,Spisula elliptica,Animalia,Mollusca,Bivalvia,,Mactridae,Spisula,,elliptica,
"Spisula solida","Su",140301,exact,Spisula solida,140301,Spisula solida,Animalia,Mollusca,Bivalvia,,Mactridae,Spisula,,solida,
"Spisula subtruncata","Su",140302,exact,Spisula subtruncata,140302,Spisula subtruncata,Animalia,Mollusca,Bivalvia,,Mactridae,Spisula,,subtruncata,
"Stegocephalus inflatus","CaSc",103105,exact,Stegocephalus inflatus,103105,Stegocephalus inflatus,Animalia,Arthropoda,Malacostraca,Amphipoda,Stegocephalidae,Stegocephalus,,inflatus,
"Steromphala cineraria","Om",1039839,exact,Steromphala cineraria,1039839,Steromphala cineraria,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Steromphala,,cineraria,
"Steromphala umbilicalis","Om",1039850,exact,Steromphala umbilicalis,1039850,Steromphala umbilicalis,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Steromphala,,umbilicalis,
"Streblospio benedicti","SuDe",131191,exact,Streblospio benedicti,131191,Streblospio benedicti,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,,benedicti,
"Streblospio shrubsolii","SuDe",131193,exact,Streblospio shrubsolii,131193,Streblospio shrubsolii,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,,shrubsolii,
"Streptosyllis websteri","De",131402,exact,Streptosyllis websteri,131402,Streptosyllis websteri,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Streptosyllis,,websteri,
"Strongylocentrotus droebachiensis","Om",124321,exact,Strongylocentrotus droebachiensis,124321,Strongylocentrotus droebachiensis,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,,droebachiensis,
"Strongylocentrotus pallidus","Om",124324,exact,Strongylocentrotus pallidus,124324,Strongylocentrotus pallidus,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,,pallidus,
"Synchelidium maculatum","Om",102928,exact,Synchelidium maculatum,102928,Synchelidium maculatum,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Synchelidium,,maculatum,
"Talitrus saltator","De",103220,exact,Talitrus saltator,103220,Talitrus saltator,Animalia,Arthropoda,Malacostraca,Amphipoda,Talitridae,Talitrus,,saltator,
"Tanais dulongii","De",136546,exact,Tanais dulongii,136546,Tanais dulongii,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Tanais,,dulongii,
"Tellimya ferruginosa","Su",146952,exact,Tellimya ferruginosa,146952,Tellimya ferruginosa,Animalia,Mollusca,Bivalvia,,Lasaeidae,Tellimya,,ferruginosa,
"Tenellia adspersa","CaSc",141639,exact,Tenellia adspersa,141639,Tenellia adspersa,Animalia,Mollusca,Gastropoda,Nudibranchia,Trinchesiidae,Tenellia,,adspersa,
"Terebellides stroemii","De",131573,exact,Terebellides stroemii,131573,Terebellides stroemii,Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides,,stroemii,
"Tharyx killariensis","De",152269,exact,Tharyx killariensis,152269,Tharyx killariensis,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Tharyx,,killariensis,
"Thelepus cincinnatus","De",131543,exact,Thelepus cincinnatus,131543,Thelepus cincinnatus,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Thelepus,,cincinnatus,
"Thracia convexa","Su",141644,exact,Thracia convexa,141644,Thracia convexa,Animalia,Mollusca,Bivalvia,,Thraciidae,Thracia,,convexa,
"Thracia phaseolina","Su",152378,exact,Thracia phaseolina,152378,Thracia phaseolina,Animalia,Mollusca,Bivalvia,,Thraciidae,Thracia,,phaseolina,
"Thracia pubescens","Su",141650,exact,Thracia pubescens,141650,Thracia pubescens,Animalia,Mollusca,Bivalvia,,Thraciidae,Thracia,,pubescens,
"Thyasira flexuosa","SuDe",141662,exact,Thyasira flexuosa,141662,Thyasira flexuosa,Animalia,Mollusca,Bivalvia,Lucinida,Thyasiridae,Thyasira,,flexuosa,
"Tritia reticulata","CaSc",876821,exact,Tritia reticulata,876821,Tritia reticulata,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia,,reticulata,
"Tryphosa nana","CaSc",102748,exact,Tryphosa nana,102748,Tryphosa nana,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosa,,nana,
"Turritella communis","Su",141872,exact,Turritella communis,141872,Turritella communis,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Turritellidae,Turritella,,communis,
"Upogebia deltaura","SuDe",107739,exact,Upogebia deltaura,107739,Upogebia deltaura,Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,,deltaura,
"Upogebia pusilla","SuDe",107741,exact,Upogebia pusilla,107741,Upogebia pusilla,Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,,pusilla,
"Urothoe brevicornis","De",103226,exact,Urothoe brevicornis,103226,Urothoe brevicornis,Animalia,Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,,brevicornis,
"Urothoe marina","De",103233,exact,Urothoe marina,103233,Urothoe marina,Animalia,Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,,marina,
"Urothoe poseidonis","De",103235,exact,Urothoe poseidonis,103235,Urothoe poseidonis,Animalia,Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,,poseidonis,
"Venerupis corrugata","Su",181364,exact,Venerupis corrugata,181364,Venerupis corrugata,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Venerupis,,corrugata,
"Venus verrucosa","Su",141936,exact,Venus verrucosa,141936,Venus verrucosa,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Venus,,verrucosa,
"Verruca stroemia","Su",106257,exact,Verruca stroemia,106257,Verruca stroemia,Animalia,Arthropoda,Hexanauplia,Sessilia,Verrucidae,Verruca,,stroemia,
"Westwoodilla caecula","De",102932,exact,Westwoodilla caecula,102932,Westwoodilla caecula,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Westwoodilla,,caecula,
