tx,BodyMassAFWD
Podarkeopsis helgolandicus,8.52E-04
Poecilochaetus serpens,1.11E-03
Polycirrus,2.44E-03
Polydora,5.01E-04
Polygordius appendiculatus,4.87E-04
Polynoe kinbergi,1.22E-02
Polyphysia crassa,8.42E-02
Polyplacophora,4.53E-04
Pontocrates altamarinus,2.86E-04
Pontocrates arcticus,2.26E-04
Pontocrates arenarius,3.01E-04
Portumnus latipes,4.10E-03
Potamopyrgus antipodarum,5.00E-06
Priapulida,3.13E-01
Prionospio,4.00E-04
Processa edulis,1.08E-02
Processa modica,8.45E-03
Processa nouveli,2.12E-02
Processa parva,1.75E-02
Propebela turricula,6.93E-04
Protodorvillea kefersteini,9.27E-05
Psammechinus miliaris,6.89E-02
Pseudione borealis,1.05E-03
Pseudione hyndmanni,6.60E-04
Pseudocuma longicorne,2.67E-04
Pseudocuma simile,2.27E-04
Pseudopolydora pulchra,1.32E-03
Pygospio elegans,5.67E-05
Roxania utriculus,8.91E-04
Sabella spallanzanii,4.75E-03
Saxicavella jeffreysi,1.68E-03
Scalibregma inflatum,2.76E-03
Scaphander lignarius,9.98E-04
Schistomysis,1.00E-03
Scolelepis bonnieri,1.14E-02
Scolelepis foliosa,1.64E-03
Scolelepis squamata,8.56E-03
Scoletoma fragilis,1.25E-03
Scoletoma tetraura,4.62E-03
Scoloplos armiger,2.96E-03
Scopelocheirus hopei,3.24E-04
Sigalion mathildae,1.73E-02
Siphonoecetes kroyeranus,2.98E-04
Sipuncula,1.18E-02
Solenogastres,4.16E-03
Sosane,1.98E-04
Sphaerodoridium,1.60E-05
Sphaerodorum gracilis,5.12E-04
Sphenia binghami,4.46E-04
Spio decoratus,3.02E-04
Spio filicornis,5.64E-04
Spio goniocephala,3.61E-04
Spio martinensis,4.82E-04
Spiophanes bombyx,1.11E-03
Spiophanes kroyeri,1.60E-03
Spio symphyta,7.32E-04
Spirobranchus triqueter,1.30E-05
Spisula elliptica,1.19E-02
Spisula solida,1.05E-01
Spisula subtruncata,2.47E-02
Stenula rubrovittata,2.98E-04
Sthenelais boa,1.93E-02
Sthenelais limicola,4.78E-03
Streblospio shrubsolii,1.13E-04
Striarca lactea,1.11E-03
Syllidae,2.29E-04
Synchelidium haplocheles,2.98E-04
Synchelidium maculatum,3.01E-04
Tanaidacea,3.35E-04
Tellimya ferruginosa,8.45E-04
Tellimya tenella,4.72E-04
Tellina fabula,7.51E-03
Tellina tenuis,1.55E-02
Terebellides stroemii,1.10E-02
Thelepus cincinnatus,6.63E-04
Thia scutellata,3.50E-02
Thracia convexa,1.25E-01
Thracia phaseolina,5.71E-03
Thracia pubescens,1.71E+00
Thyasira flexuosa,1.28E-03
Tornus subcarinatus,3.83E-04
Travisia forbesii,1.79E-02
Trichobranchus roseus,6.74E-03
Triticella flava,8.74E-05
Tryphosella sarsi,3.80E-04
Tryphosites longipes,2.99E-04
Turbonilla lactea,4.04E-04
Turbonilla pusilla,1.16E-03
Turritella communis,8.45E-02
Unciola planipes,3.00E-04
Upogebia deltaura,2.86E-01
Upogebia stellata,7.85E-02
Urothoe brevicornis,3.44E-04
Urothoe elegans,2.85E-04
Urothoe marina,3.01E-04
Urothoe poseidonis,2.88E-04
Venerupis corrugata,3.85E-01
Venus,6.49E-05
Vitreolina antiflexa,1.06E-03
Westwoodilla caecula,3.14E-04
